zip,primary_city,state,county,area_codes
41094,Walton,KY,Boone County,859
41095,Warsaw,KY,Gallatin County,859
41096,Washington,KY,Mason County,606
41097,Williamstown,KY,Grant County,859
41098,Worthville,KY,Owen County,502
41099,Newport,KY,Campbell County,859
41101,Ashland,KY,Boyd County,606
41102,Ashland,KY,Boyd County,606
41105,Ashland,KY,Boyd County,606
41114,Ashland,KY,Boyd County,606
41121,Argillite,KY,Greenup County,606
41124,Blaine,KY,Lawrence County,606
41128,Carter,KY,Carter County,606
41129,Catlettsburg,KY,Boyd County,606
41132,Denton,KY,Carter County,
41135,Emerson,KY,Lewis County,606
41139,Flatwoods,KY,Greenup County,606
41141,Garrison,KY,Lewis County,606
41142,Grahn,KY,Carter County,606
41143,Grayson,KY,Carter County,606
41144,Greenup,KY,Greenup County,606
41146,Hitchins,KY,Carter County,606
41149,Isonville,KY,Elliott County,606
41159,Martha,KY,Lawrence County,606
41160,Mazie,KY,Lawrence County,606
41164,Olive Hill,KY,Carter County,606
41166,Quincy,KY,Lewis County,606
41168,Rush,KY,Boyd County,606
41169,Russell,KY,Greenup County,606
41171,Sandy Hook,KY,Elliott County,606
41173,Soldier,KY,Carter County,606
41174,South Portsmouth,KY,Greenup County,606
41175,South Shore,KY,Greenup County,606
41179,Vanceburg,KY,Lewis County,606
41180,Webbville,KY,Lawrence County,606
41181,Willard,KY,Carter County,606
41183,Worthington,KY,Greenup County,606
41189,Tollesboro,KY,Lewis County,606
41201,Adams,KY,Lawrence County,606
41203,Beauty,KY,Martin County,606
41204,Boons Camp,KY,Johnson County,606
41214,Debord,KY,Martin County,606
41216,East Point,KY,Floyd County,606
41219,Flatgap,KY,Johnson County,606
41222,Hagerhill,KY,Johnson County,606
41224,Inez,KY,Martin County,606
41226,Keaton,KY,Johnson County,606
41230,Louisa,KY,Lawrence County,606
41231,Lovely,KY,Martin County,606
41232,Lowmansville,KY,Lawrence County,606
41234,Meally,KY,Johnson County,606
41238,Oil Springs,KY,Johnson County,606
41240,Paintsville,KY,Johnson County,606
41250,Pilgrim,KY,Martin County,606
41254,River,KY,Johnson County,
41255,Sitka,KY,Johnson County,606
41256,Staffordsville,KY,Johnson County,606
41257,Stambaugh,KY,Johnson County,606
41260,Thelma,KY,Johnson County,606
41262,Tomahawk,KY,Martin County,606
41263,Tutor Key,KY,Johnson County,606
41264,Ulysses,KY,Lawrence County,606
41265,Van Lear,KY,Johnson County,606
41267,Warfield,KY,Martin County,606
41268,West Van Lear,KY,Johnson County,606
41271,Williamsport,KY,Johnson County,606
41274,Wittensville,KY,Johnson County,606
41301,Campton,KY,Wolfe County,606
41307,Athol,KY,Lee County,606
41310,Bays,KY,Breathitt County,606
41311,Beattyville,KY,Lee County,606
41313,Bethany,KY,Wolfe County,606
41314,Booneville,KY,Owsley County,606
41317,Clayhole,KY,Breathitt County,606
41332,Hazel Green,KY,Wolfe County,606
41333,Heidelberg,KY,Lee County,606
41338,Island City,KY,Owsley County,606
41339,Jackson,KY,Breathitt County,606
41347,Lone,KY,Lee County,606
41348,Lost Creek,KY,Breathitt County,606
41351,Mistletoe,KY,Owsley County,606
41352,Mize,KY,Morgan County,606
41360,Pine Ridge,KY,Wolfe County,606
41362,Primrose,KY,Lee County,606
41364,Ricetown,KY,Owsley County,606
41365,Rogers,KY,Wolfe County,
41366,Rousseau,KY,Breathitt County,606
41367,Rowdy,KY,Perry County,606
41368,Saint Helens,KY,Lee County,606
41385,Vancleve,KY,Breathitt County,606
41386,Vincent,KY,Owsley County,
41390,Whick,KY,Breathitt County,606
41397,Zoe,KY,Lee County,606
41408,Cannel City,KY,Morgan County,606
41413,Crockett,KY,Morgan County,606
41421,Elkfork,KY,Morgan County,606
41425,Ezel,KY,Morgan County,606
41426,Falcon,KY,Magoffin County,606
41433,Gapville,KY,Magoffin County,606
41451,Malone,KY,Morgan County,606
41459,Ophir,KY,Morgan County,606
41464,Royalton,KY,Magoffin County,606
41465,Salyersville,KY,Magoffin County,606
41472,West Liberty,KY,Morgan County,606
41477,Wrigley,KY,Morgan County,606
41501,Pikeville,KY,Pike County,606
